# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	352855
#@/user_id	5ccb50a0-6ba1-4de8-9045-d7436d20e87a
a 	啊	c=5862 d=5.05529 t=352657
a 	阿	c=24 d=1 t=334114
a ao 	啊奧	c=4 d=1 t=232632
a ao ao 	啊奧奧	c=5 d=1 t=296866
a ao o 	啊奧哦	c=1 d=1 t=125130
a ba si 	阿巴斯	c=0 d=0.1 t=35171
a bian 	阿扁	c=0 d=0.1 t=287439
a bu 	阿布	c=5 d=1 t=179365
a dai 	阿呆	c=1 d=1 t=58869
a dan 	阿丹	c=0 d=0.1 t=142591
a de 	阿德	c=2 d=1 t=320757
a dou 	阿斗	c=0 d=0.1 t=278634
a fa 	阿伐	c=0 d=0.1 t=195941
a fa er 	阿法爾	c=1 d=1 t=178148
a fan da 	阿凡達	c=1 d=1 t=117318
a fei 	阿飛	c=73 d=1.0455 t=350365
a fen 	啊分	c=1 d=1 t=307179
a gou 	阿狗	c=0 d=0.1 t=267257
a hai si hu 	啊還似乎	c=2 d=1 t=172427
a hong 	阿訇	c=0 d=0.1 t=49805
a jiao 	阿嬌	c=0 d=0.1 t=97947
a jun 	阿君	c=3 d=1.99501 t=93853
a ka 	阿卡	c=0 d=0.1 t=94467
a ka mu 	阿卡母	c=1 d=1 t=94468
a lan 	阿蘭	c=1 d=1 t=181298
a lang 	阿郎	c=2 d=1 t=83932
a lei 	啊磊	c=1 d=1 t=101215
a li 	阿里	c=160 d=1 t=349438
a li 	阿離	c=13 d=1 t=323266
a li ba ba 	阿里巴巴	c=1 d=1 t=183225
a li de 	阿里的	c=3 d=1 t=67761
a li guo ji 	阿里國際	c=2 d=0.780454 t=135351
a li guo ji zhan 	阿里國際站	c=1 d=1 t=135352
a li guo ji zhang 	阿里國際章	c=1 d=1 t=135245
a li he zuo 	阿里合作	c=1 d=1 t=143083
a li hou tai 	阿里後臺	c=1 d=1 t=56204
a li na bian 	阿里那邊	c=1 d=1 t=250005
a li yun 	阿里雲	c=143 d=1 t=347994
a li zhang ha 	阿里張哈	c=1 d=1 t=49805
a li zhang hao 	阿里帳號	c=1 d=1 t=53246
a li zhe bian 	阿里這邊	c=2 d=1 t=301598
a li zhi bo 	阿里直播	c=2 d=1 t=79806
a long 	阿龍	c=1 d=1 t=114094
a lu yin 	啊錄音	c=1 d=1 t=9995
a lun 	阿倫	c=1 d=1 t=216223
a man 	阿曼	c=2 d=1.30575 t=334115
a men 	阿門	c=0 d=0.100039 t=219704
a mi ba 	阿米巴	c=1 d=1 t=255691
a mo xi lin 	阿莫西林	c=2 d=1.99005 t=302145
a na pa 	啊哪怕	c=1 d=1 t=150819
a ning 	阿寧	c=4 d=1 t=168915
a ning le 	阿寧了	c=1 d=1 t=84129
a qiang 	阿強	c=3 d=1 t=154705
a sang 	阿桑	c=1 d=1 t=12097
a sen 	阿森	c=1 d=0.1 t=147748
a sen an 	阿森按	c=1 d=1 t=147749
a sen na 	阿森納	c=17 d=1.00003 t=298149
a shu 	阿叔	c=0 d=0.1 t=259292
a si lan 	阿斯蘭	c=0 d=0.1 t=4027
a ta men 	啊他們	c=1 d=1 t=137409
a yi 	阿姨	c=6 d=1 t=253886
a yo 	啊唷	c=0 d=0.1 t=4656
ai 	哎	c=213 d=1.00919 t=350736
ai 	唉	c=4 d=1.00032 t=147229
ai 	愛	c=40 d=1 t=334559
ai 	捱	c=1 d=1 t=350187
ai 	艾	c=31 d=2.70686 t=324415
ai ai 	愛愛	c=1 d=1 t=26290
ai bian 	癌變	c=1 d=1 t=147526
ai chi 	愛吃	c=6 d=1 t=177762
ai da 	捱打	c=1 d=1 t=324638
ai dao de 	挨刀的	c=1 d=1 t=286005
ai de 	愛的	c=1 d=1 t=47976
ai dou 	艾豆	c=8 d=1.93707 t=328641
ai er lan 	愛爾蘭	c=4 d=1 t=268842
ai fa 	哎法	c=1 d=1 t=63632
ai ge 	挨個	c=0 d=0.1 t=118233
ai gou 	哎夠	c=1 d=1 t=226452
ai hao 	愛好	c=3 d=1 t=197447
ai hui shou 	哎回收	c=1 d=1 t=178479
ai ji 	埃及	c=1 d=1 t=110173
ai jiu 	艾灸	c=3 d=1.99005 t=254056
ai le 	捱了	c=1 d=1 t=221872
ai li 	愛裏	c=0 d=0.1 t=26800
ai ma 	捱罵	c=8 d=1.9802 t=350469
ai ma le 	捱罵了	c=1 d=1 t=210189
ai ni 	愛你	c=29 d=0.103625 t=107013
ai pa pa 	矮趴趴	c=2 d=0.1 t=123316
ai pa pa le 	矮趴趴了	c=1 d=1 t=123317
ai qing 	愛情	c=0 d=0.1 t=41593
ai ren 	愛人	c=1 d=1 t=219214
ai rong 	艾絨	c=2 d=1 t=324366
ai shang 	愛上	c=1 d=1 t=302433
ai shang di fang sa fei 	愛上地方薩菲	c=1 d=1 t=20
ai shen 	愛神	c=1 d=1 t=226621
ai shi 	礙事	c=1 d=0.1 t=209263
ai shu 	愛書	c=1 d=1 t=102145
ai ting 	愛聽	c=0 d=0.1 t=119409
ai wu 	愛物	c=0 d=0.1 t=98616
ai xin 	愛心	c=0 d=0.1 t=319308
ai ya 	哎呀	c=13 d=1 t=226540
ai you 	哎呦	c=1 d=1 t=107064
ai zou 	捱揍	c=1 d=1 t=202925
an 	俺	c=1 d=1 t=60002
an 	安	c=77 d=1 t=346138
an 	按	c=221 d=1.02438 t=351289
an 	暗	c=1 d=1 t=341454
an an 	暗暗	c=2 d=1 t=348560
an bian 	岸邊	c=3 d=1.00006 t=319274
an ci 	按次	c=1 d=1 t=342888
an ci 	按此	c=3 d=1 t=184467
an ci shu 	按次數	c=2 d=1.956 t=186221
an da biao 	按達標	c=1 d=1 t=164102
an dao li 	安道理	c=10 d=1 t=324832
an dao li 	按道理	c=3 d=1.44486 t=345707
an de lie 	安德烈	c=1 d=1 t=176296
an de lu 	安德魯	c=1 d=1 t=194361
an de sen 	安德森	c=1 d=1 t=176297
an fu 	安撫	c=1 d=1 t=200742
an fu xia 	安撫下	c=1 d=1 t=183927
an ge 	安格	c=5 d=1 t=317366
an hei 	暗黑	c=3 d=1 t=317942
an hui 	安徽	c=2 d=1 t=293122
an ji hua 	按計劃	c=3 d=1 t=135377
an jian 	安檢	c=1 d=1 t=218548
an jian 	案件	c=1 d=1 t=64161
an jing 	安靜	c=3 d=1 t=320428
an jiu 	暗九	c=2 d=1 t=146774
an le 	安樂	c=0 d=0.1 t=22268
an li 	安利	c=2 d=1 t=175046
an li 	案例	c=21 d=1 t=332586
an men 	俺們	c=2 d=0.1 t=26369
an ming tian 	按明天	c=1 d=1 t=40383
an mo 	按摩	c=17 d=1 t=323454
an ni 	安妮	c=1 d=1 t=284731
an niu 	按鈕	c=25 d=1.5224 t=331591
an pai 	安排	c=172 d=1 t=347489
an pai dao 	安排到	c=1 d=1 t=80402
an pai ge 	安排個	c=1 d=1 t=253275
an pai gong zuo 	安排工作	c=1 d=1 t=314908
an pai hao 	安排好	c=1 d=1 t=96350
an pai le 	安排了	c=2 d=1 t=336476
an pao 	岸炮	c=2 d=1 t=226641
an qi 	按期	c=3 d=1.97531 t=221288
an qing 	安慶	c=1 d=1 t=2132
an quan 	安全	c=119 d=1 t=352549
an quan de 	安全的	c=1 d=1 t=336366
an quan gan 	安全感	c=2 d=1 t=162812
